Species,Id,Part,Length,Width
virginica,101,Petal,6,2.5
virginica,101,Sepal,6.3,3.3
virginica,102,Petal,5.1,1.9
virginica,102,Sepal,5.8,2.7
virginica,103,Petal,5.9,2.1
virginica,103,Sepal,7.1,3
virginica,104,Petal,5.6,1.8
virginica,104,Sepal,6.3,2.9
virginica,105,Petal,5.8,2.2
virginica,105,Sepal,6.5,3
virginica,106,Petal,6.6,2.1
virginica,106,Sepal,7.6,3
virginica,107,Petal,4.5,1.7
virginica,107,Sepal,4.9,2.5
virginica,108,Petal,6.3,1.8
virginica,108,Sepal,7.3,2.9
virginica,109,Petal,5.8,1.8
virginica,109,Sepal,6.7,2.5
virginica,110,Petal,6.1,2.5
virginica,110,Sepal,7.2,3.6
virginica,111,Petal,5.1,2
virginica,111,Sepal,6.5,3.2
virginica,112,Petal,5.3,1.9
virginica,112,Sepal,6.4,2.7
virginica,113,Petal,5.5,2.1
virginica,113,Sepal,6.8,3
virginica,114,Petal,5,2
virginica,114,Sepal,5.7,2.5
virginica,115,Petal,5.1,2.4
virginica,115,Sepal,5.8,2.8
virginica,116,Petal,5.3,2.3
virginica,116,Sepal,6.4,3.2
virginica,117,Petal,5.5,1.8
virginica,117,Sepal,6.5,3
virginica,118,Petal,6.7,2.2
virginica,118,Sepal,7.7,3.8
virginica,119,Petal,6.9,2.3
virginica,119,Sepal,7.7,2.6
virginica,120,Petal,5,1.5
virginica,120,Sepal,6,2.2
virginica,121,Petal,5.7,2.3
virginica,121,Sepal,6.9,3.2
virginica,122,Petal,4.9,2
virginica,122,Sepal,5.6,2.8
virginica,123,Petal,6.7,2
virginica,123,Sepal,7.7,2.8
virginica,124,Petal,4.9,1.8
virginica,124,Sepal,6.3,2.7
virginica,125,Petal,5.7,2.1
virginica,125,Sepal,6.7,3.3
virginica,126,Petal,6,1.8
virginica,126,Sepal,7.2,3.2
virginica,127,Petal,4.8,1.8
virginica,127,Sepal,6.2,2.8
virginica,128,Petal,4.9,1.8
virginica,128,Sepal,6.1,3
virginica,129,Petal,5.6,2.1
virginica,129,Sepal,6.4,2.8
virginica,130,Petal,5.8,1.6
virginica,130,Sepal,7.2,3
virginica,131,Petal,6.1,1.9
virginica,131,Sepal,7.4,2.8
virginica,132,Petal,6.4,2
virginica,132,Sepal,7.9,3.8
virginica,133,Petal,5.6,2.2
virginica,133,Sepal,6.4,2.8
virginica,134,Petal,5.1,1.5
virginica,134,Sepal,6.3,2.8
virginica,135,Petal,5.6,1.4
virginica,135,Sepal,6.1,2.6
virginica,136,Petal,6.1,2.3
virginica,136,Sepal,7.7,3
virginica,137,Petal,5.6,2.4
virginica,137,Sepal,6.3,3.4
virginica,138,Petal,5.5,1.8
virginica,138,Sepal,6.4,3.1
virginica,139,Petal,4.8,1.8
virginica,139,Sepal,6,3
virginica,140,Petal,5.4,2.1
virginica,140,Sepal,6.9,3.1
virginica,141,Petal,5.6,2.4
virginica,141,Sepal,6.7,3.1
virginica,142,Petal,5.1,2.3
virginica,142,Sepal,6.9,3.1
virginica,143,Petal,5.1,1.9
virginica,143,Sepal,5.8,2.7
virginica,144,Petal,5.9,2.3
virginica,144,Sepal,6.8,3.2
virginica,145,Petal,5.7,2.5
virginica,145,Sepal,6.7,3.3
virginica,146,Petal,5.2,2.3
virginica,146,Sepal,6.7,3
virginica,147,Petal,5,1.9
virginica,147,Sepal,6.3,2.5
virginica,148,Petal,5.2,2
virginica,148,Sepal,6.5,3
virginica,149,Petal,5.4,2.3
virginica,149,Sepal,6.2,3.4
virginica,150,Petal,5.1,1.8
virginica,150,Sepal,5.9,3
