Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity
12.031,3182,259,2,58,18,Female,No,Yes,Caucasian
16.819,1337,115,2,74,15, Male,No,Yes,Asian
39.11,3189,263,3,72,12, Male,No,No,Asian
107.986,6033,449,4,64,14, Male,No,Yes,Caucasian
13.561,3261,279,5,37,19, Male,No,Yes,Asian
34.537,3271,250,3,57,17,Female,No,Yes,Asian
28.575,2959,231,2,60,11,Female,No,No,African American
46.007,6637,491,4,42,14, Male,No,Yes,Caucasian
69.251,6386,474,4,30,12,Female,No,Yes,Asian
16.482,3326,268,4,41,15, Male,No,No,Caucasian
40.442,4828,369,5,81,8,Female,No,No,African American
35.177,2117,186,3,62,16,Female,No,No,Caucasian
91.362,9113,626,1,47,17, Male,No,Yes,Asian
27.039,2161,173,3,40,17,Female,No,No,Caucasian
23.012,1410,137,3,81,16, Male,No,No,Caucasian
27.241,1402,128,2,67,15,Female,No,Yes,Asian
148.08,8157,599,2,83,13, Male,No,Yes,Caucasian
62.602,7056,481,1,84,11,Female,No,No,Caucasian
11.808,1300,117,3,77,14,Female,No,No,African American
29.564,2529,192,1,30,12,Female,No,Yes,Caucasian
27.578,2531,195,1,34,15,Female,No,Yes,Caucasian
26.427,5533,433,5,50,15,Female,Yes,Yes,Asian
57.202,3411,259,3,72,11,Female,No,No,Caucasian
123.299,8376,610,2,89,17, Male,Yes,No,African American
18.145,3461,279,3,56,15, Male,No,Yes,African American
23.793,3821,281,4,56,12,Female,Yes,Yes,African American
10.726,1568,162,5,46,19, Male,No,Yes,Asian
23.283,5443,407,4,49,13, Male,No,Yes,African American
21.455,5829,427,4,80,12,Female,No,Yes,African American
34.664,5835,452,3,77,15,Female,No,Yes,African American
44.473,3500,257,3,81,16,Female,No,No,African American
54.663,4116,314,2,70,8,Female,No,No,African American
36.355,3613,278,4,35,9, Male,No,Yes,Asian
21.374,2073,175,2,74,11,Female,No,Yes,Caucasian
107.841,10384,728,3,87,7, Male,No,No,African American
39.831,6045,459,3,32,12,Female,Yes,Yes,African American
91.876,6754,483,2,33,10, Male,No,Yes,Caucasian
103.893,7416,549,3,84,17, Male,No,No,Asian
19.636,4896,387,3,64,10,Female,No,No,African American
17.392,2748,228,3,32,14, Male,No,Yes,Caucasian
19.529,4673,341,2,51,14, Male,No,No,Asian
17.055,5110,371,3,55,15,Female,No,Yes,Caucasian
23.857,1501,150,3,56,16, Male,No,Yes,Caucasian
15.184,2420,192,2,69,11,Female,No,Yes,Caucasian
13.444,886,121,5,44,10, Male,No,Yes,Asian
63.931,5728,435,3,28,14,Female,No,Yes,African American
35.864,4831,353,3,66,13,Female,No,Yes,Caucasian
41.419,2120,184,4,24,11,Female,Yes,No,Caucasian
92.112,4612,344,3,32,17, Male,No,No,Caucasian
55.056,3155,235,2,31,16, Male,No,Yes,African American
19.537,1362,143,4,34,9,Female,No,Yes,Asian
31.811,4284,338,5,75,13,Female,No,Yes,Caucasian
56.256,5521,406,2,72,16,Female,Yes,Yes,Caucasian
42.357,5550,406,2,83,12,Female,No,Yes,Asian
53.319,3000,235,3,53,13, Male,No,No,Asian
12.238,4865,381,5,67,11,Female,No,No,Caucasian
31.353,1705,160,3,81,14, Male,No,Yes,Caucasian
63.809,7530,515,1,56,12, Male,No,Yes,Caucasian
13.676,2330,203,5,80,16,Female,No,No,African American
76.782,5977,429,4,44,12, Male,No,Yes,Asian
25.383,4527,367,4,46,11, Male,No,Yes,Caucasian
35.691,2880,214,2,35,15, Male,No,No,African American
29.403,2327,178,1,37,14,Female,No,Yes,Caucasian
27.47,2820,219,1,32,11,Female,No,Yes,Asian
27.33,6179,459,4,36,12,Female,No,Yes,Caucasian
34.772,2021,167,3,57,9, Male,No,No,Asian
36.934,4270,299,1,63,9,Female,No,Yes,Caucasian
76.348,4697,344,4,60,18, Male,No,No,Asian
14.887,4745,339,3,58,12, Male,No,Yes,African American
121.834,10673,750,3,54,16, Male,No,No,African American
30.132,2168,206,3,52,17, Male,No,No,Caucasian
24.05,2607,221,4,32,18, Male,No,Yes,Caucasian
22.379,3965,292,2,34,14,Female,No,Yes,Asian
28.316,4391,316,2,29,10,Female,No,No,Caucasian
58.026,7499,560,5,67,11,Female,No,No,Caucasian
10.635,3584,294,5,69,16, Male,No,Yes,Asian
46.102,5180,382,3,81,12, Male,No,Yes,African American
58.929,6420,459,2,66,9,Female,No,Yes,African American
80.861,4090,335,3,29,15,Female,No,Yes,Asian
158.889,11589,805,1,62,17,Female,No,Yes,Caucasian
30.42,4442,316,1,30,14,Female,No,No,African American
36.472,3806,309,2,52,13, Male,No,No,African American
23.365,2179,167,2,75,15, Male,No,No,Asian
83.869,7667,554,2,83,11, Male,No,No,African American
58.351,4411,326,2,85,16,Female,No,Yes,Caucasian
55.187,5352,385,4,50,17,Female,No,Yes,Caucasian
124.29,9560,701,3,52,17,Female,Yes,No,Asian
28.508,3933,287,4,56,14, Male,No,Yes,Asian
130.209,10088,730,7,39,19,Female,No,Yes,Caucasian
30.406,2120,181,2,79,14, Male,No,Yes,African American
23.883,5384,398,2,73,16,Female,No,Yes,African American
93.039,7398,517,1,67,12, Male,No,Yes,African American
50.699,3977,304,2,84,17,Female,No,No,African American
27.349,2000,169,4,51,16,Female,No,Yes,African American
10.403,4159,310,3,43,7, Male,No,Yes,Asian
23.949,5343,383,2,40,18, Male,No,Yes,African American
73.914,7333,529,6,67,15,Female,No,Yes,Caucasian
21.038,1448,145,2,58,13,Female,No,Yes,Caucasian
68.206,6784,499,5,40,16,Female,Yes,No,African American
57.337,5310,392,2,45,7,Female,No,No,Caucasian
10.793,3878,321,8,29,13, Male,No,No,Caucasian
23.45,2450,180,2,78,13, Male,No,No,Caucasian
10.842,4391,358,5,37,10,Female,Yes,Yes,Caucasian
51.345,4327,320,3,46,15, Male,No,No,African American
151.947,9156,642,2,91,11,Female,No,Yes,African American
24.543,3206,243,2,62,12,Female,No,Yes,Caucasian
29.567,5309,397,3,25,15, Male,No,No,Caucasian
39.145,4351,323,2,66,13, Male,No,Yes,Caucasian
39.422,5245,383,2,44,19, Male,No,No,African American
34.909,5289,410,2,62,16,Female,No,Yes,Caucasian
41.025,4229,337,3,79,19,Female,No,Yes,Caucasian
15.476,2762,215,3,60,18, Male,No,No,Asian
12.456,5395,392,3,65,14, Male,No,Yes,Caucasian
10.627,1647,149,2,71,10,Female,Yes,Yes,Asian
38.954,5222,370,4,76,13,Female,No,No,Caucasian
44.847,5765,437,3,53,13,Female,Yes,No,Asian
98.515,8760,633,5,78,11,Female,No,No,African American
33.437,6207,451,4,44,9, Male,Yes,No,Caucasian
27.512,4613,344,5,72,17, Male,No,Yes,Asian
121.709,7818,584,4,50,6, Male,No,Yes,Caucasian
15.079,5673,411,4,28,15,Female,No,Yes,Asian
59.879,6906,527,6,78,15,Female,No,No,Caucasian
66.989,5614,430,3,47,14,Female,No,Yes,Caucasian
69.165,4668,341,2,34,11,Female,No,No,African American
69.943,7555,547,3,76,9, Male,No,Yes,Asian
33.214,5137,387,3,59,9, Male,No,No,African American
25.124,4776,378,4,29,12, Male,No,Yes,Caucasian
15.741,4788,360,1,39,14, Male,No,Yes,Asian
11.603,2278,187,3,71,11, Male,No,Yes,Caucasian
69.656,8244,579,3,41,14, Male,No,Yes,African American
10.503,2923,232,3,25,18,Female,No,Yes,African American
42.529,4986,369,2,37,11, Male,No,Yes,Asian
60.579,5149,388,5,38,15, Male,No,Yes,Asian
26.532,2910,236,6,58,19,Female,No,Yes,Caucasian
27.952,3557,263,1,35,13,Female,No,Yes,Asian
29.705,3351,262,5,71,14,Female,No,Yes,Asian
15.602,906,103,2,36,11, Male,No,Yes,African American
20.918,1233,128,3,47,18,Female,Yes,Yes,Asian
58.165,6617,460,1,56,12,Female,No,Yes,Caucasian
22.561,1787,147,4,66,15,Female,No,No,Caucasian
34.509,2001,189,5,80,18,Female,No,Yes,African American
19.588,3211,265,4,59,14,Female,No,No,Asian
36.364,2220,188,3,50,19, Male,No,No,Caucasian
15.717,905,93,1,38,16, Male,Yes,Yes,Caucasian
22.574,1551,134,3,43,13,Female,Yes,Yes,Caucasian
10.363,2430,191,2,47,18,Female,No,Yes,Asian
28.474,3202,267,5,66,12, Male,No,Yes,Caucasian
72.945,8603,621,3,64,8,Female,No,No,Caucasian
85.425,5182,402,6,60,12, Male,No,Yes,African American
36.508,6386,469,4,79,6,Female,No,Yes,Caucasian
58.063,4221,304,3,50,8, Male,No,No,African American
25.936,1774,135,2,71,14,Female,No,No,Asian
15.629,2493,186,1,60,14, Male,No,Yes,Asian
41.4,2561,215,2,36,14, Male,No,Yes,Caucasian
33.657,6196,450,6,55,9,Female,No,No,Caucasian
67.937,5184,383,4,63,12, Male,No,Yes,Asian
180.379,9310,665,3,67,8,Female,Yes,Yes,Asian
10.588,4049,296,1,66,13,Female,No,Yes,Caucasian
29.725,3536,270,2,52,15,Female,No,No,African American
27.999,5107,380,1,55,10, Male,No,Yes,Caucasian
40.885,5013,379,3,46,13,Female,No,Yes,African American
88.83,4952,360,4,86,16,Female,No,Yes,Caucasian
29.638,5833,433,3,29,15,Female,No,Yes,Asian
25.988,1349,142,4,82,12, Male,No,No,Caucasian
39.055,5565,410,4,48,18,Female,No,Yes,Caucasian
15.866,3085,217,1,39,13, Male,No,No,Caucasian
44.978,4866,347,1,30,10,Female,No,No,Caucasian
30.413,3690,299,2,25,15,Female,Yes,No,Asian
16.751,4706,353,6,48,14, Male,Yes,No,Asian
30.55,5869,439,5,81,9,Female,No,No,African American
163.329,8732,636,3,50,14, Male,No,Yes,Caucasian
23.106,3476,257,2,50,15,Female,No,No,Caucasian
41.532,5000,353,2,50,12, Male,No,Yes,Caucasian
128.04,6982,518,2,78,11,Female,No,Yes,Caucasian
54.319,3063,248,3,59,8,Female,Yes,No,Caucasian
53.401,5319,377,3,35,12,Female,No,No,African American
36.142,1852,183,3,33,13,Female,No,No,African American
63.534,8100,581,2,50,17,Female,No,Yes,Caucasian
49.927,6396,485,3,75,17,Female,No,Yes,Caucasian
14.711,2047,167,2,67,6, Male,No,Yes,Caucasian
18.967,1626,156,2,41,11,Female,No,Yes,Asian
18.036,1552,142,2,48,15,Female,No,No,Caucasian
60.449,3098,272,4,69,8, Male,No,Yes,Caucasian
16.711,5274,387,3,42,16,Female,No,Yes,Asian
10.852,3907,296,2,30,9, Male,No,No,Caucasian
26.37,3235,268,5,78,11, Male,No,Yes,Asian
24.088,3665,287,4,56,13,Female,No,Yes,Caucasian
51.532,5096,380,2,31,15, Male,No,Yes,Caucasian
140.672,11200,817,7,46,9, Male,No,Yes,African American
42.915,2532,205,4,42,13, Male,No,Yes,Asian
27.272,1389,149,5,67,10,Female,No,Yes,Caucasian
65.896,5140,370,1,49,17,Female,No,Yes,Caucasian
55.054,4381,321,3,74,17, Male,No,Yes,Asian
20.791,2672,204,1,70,18,Female,No,No,African American
24.919,5051,372,3,76,11,Female,No,Yes,African American
21.786,4632,355,1,50,17, Male,No,Yes,Caucasian
31.335,3526,289,3,38,7,Female,No,No,Caucasian
59.855,4964,365,1,46,13,Female,No,Yes,Caucasian
44.061,4970,352,1,79,11, Male,No,Yes,African American
82.706,7506,536,2,64,13,Female,No,Yes,Asian
24.46,1924,165,2,50,14,Female,No,Yes,Asian
45.12,3762,287,3,80,8, Male,No,Yes,Caucasian
75.406,3874,298,3,41,14,Female,No,Yes,Asian
14.956,4640,332,2,33,6, Male,No,No,Asian
75.257,7010,494,3,34,18,Female,No,Yes,Caucasian
33.694,4891,369,1,52,16, Male,Yes,No,African American
23.375,5429,396,3,57,15,Female,No,Yes,Caucasian
27.825,5227,386,6,63,11, Male,No,Yes,Caucasian
92.386,7685,534,2,75,18,Female,No,Yes,Asian
115.52,9272,656,2,69,14, Male,No,No,African American
14.479,3907,296,3,43,16, Male,No,Yes,Caucasian
52.179,7306,522,2,57,14, Male,No,No,Asian
68.462,4712,340,2,71,16, Male,No,Yes,Caucasian
18.951,1485,129,3,82,13,Female,No,No,Caucasian
27.59,2586,229,5,54,16, Male,No,Yes,African American
16.279,1160,126,3,78,13, Male,Yes,Yes,African American
25.078,3096,236,2,27,15,Female,No,Yes,Caucasian
27.229,3484,282,6,51,11, Male,No,No,Caucasian
182.728,13913,982,4,98,17, Male,No,Yes,Caucasian
31.029,2863,223,2,66,17, Male,Yes,Yes,Asian
17.765,5072,364,1,66,12,Female,No,Yes,Caucasian
125.48,10230,721,3,82,16, Male,No,Yes,Caucasian
49.166,6662,508,3,68,14,Female,No,No,Asian
41.192,3673,297,3,54,16,Female,No,Yes,Caucasian
94.193,7576,527,2,44,16,Female,No,Yes,Caucasian
20.405,4543,329,2,72,17, Male,Yes,No,Asian
12.581,3976,291,2,48,16, Male,No,Yes,Caucasian
62.328,5228,377,3,83,15, Male,No,No,Caucasian
21.011,3402,261,2,68,17, Male,No,Yes,African American
24.23,4756,351,2,64,15,Female,No,Yes,Caucasian
24.314,3409,270,2,23,7,Female,No,Yes,Caucasian
32.856,5884,438,4,68,13, Male,No,No,Caucasian
12.414,855,119,3,32,12, Male,No,Yes,African American
41.365,5303,377,1,45,14, Male,No,No,Caucasian
149.316,10278,707,1,80,16, Male,No,No,African American
27.794,3807,301,4,35,8,Female,No,Yes,African American
13.234,3922,299,2,77,17,Female,No,Yes,Caucasian
14.595,2955,260,5,37,9, Male,No,Yes,African American
10.735,3746,280,2,44,17,Female,No,Yes,Caucasian
48.218,5199,401,7,39,10, Male,No,Yes,Asian
30.012,1511,137,2,33,17, Male,No,Yes,Caucasian
21.551,5380,420,5,51,18, Male,No,Yes,Asian
160.231,10748,754,2,69,17, Male,No,No,Caucasian
13.433,1134,112,3,70,14, Male,No,Yes,Caucasian
48.577,5145,389,3,71,13,Female,No,Yes,Asian
30.002,1561,155,4,70,13,Female,No,Yes,Caucasian
61.62,5140,374,1,71,9, Male,No,Yes,Caucasian
104.483,7140,507,2,41,14, Male,No,Yes,African American
41.868,4716,342,2,47,18, Male,No,No,Caucasian
12.068,3873,292,1,44,18,Female,No,Yes,Asian
180.682,11966,832,2,58,8,Female,No,Yes,African American
34.48,6090,442,3,36,14, Male,No,No,Caucasian
39.609,2539,188,1,40,14, Male,No,Yes,Asian
30.111,4336,339,1,81,18, Male,No,Yes,Caucasian
12.335,4471,344,3,79,12, Male,No,Yes,African American
53.566,5891,434,4,82,10,Female,No,No,Caucasian
53.217,4943,362,2,46,16,Female,No,Yes,Asian
26.162,5101,382,3,62,19,Female,No,No,African American
64.173,6127,433,1,80,10, Male,No,Yes,Caucasian
128.669,9824,685,3,67,16, Male,No,Yes,Asian
113.772,6442,489,4,69,15, Male,Yes,Yes,Caucasian
61.069,7871,564,3,56,14, Male,No,Yes,Caucasian
23.793,3615,263,2,70,14, Male,No,No,African American
89,5759,440,3,37,6,Female,No,No,Caucasian
71.682,8028,599,3,57,16, Male,No,Yes,Caucasian
35.61,6135,466,4,40,12, Male,No,No,Caucasian
39.116,2150,173,4,75,15, Male,No,No,Caucasian
19.782,3782,293,2,46,16,Female,Yes,No,Caucasian
55.412,5354,383,2,37,16,Female,Yes,Yes,Caucasian
29.4,4840,368,3,76,18,Female,No,Yes,Caucasian
20.974,5673,413,5,44,16,Female,No,Yes,Caucasian
87.625,7167,515,2,46,10,Female,No,No,African American
28.144,1567,142,3,51,10, Male,No,Yes,Caucasian
19.349,4941,366,1,33,19, Male,No,Yes,Caucasian
53.308,2860,214,1,84,10, Male,No,Yes,Caucasian
115.123,7760,538,3,83,14,Female,No,No,African American
101.788,8029,574,2,84,11, Male,No,Yes,Caucasian
24.824,5495,409,1,33,9, Male,Yes,No,Caucasian
14.292,3274,282,9,64,9, Male,No,Yes,Caucasian
20.088,1870,180,3,76,16, Male,No,No,African American
26.4,5640,398,3,58,15,Female,No,No,Asian
19.253,3683,287,4,57,10, Male,No,No,African American
16.529,1357,126,3,62,9, Male,No,No,Asian
37.878,6827,482,2,80,13,Female,No,No,Caucasian
83.948,7100,503,2,44,18, Male,No,No,Caucasian
135.118,10578,747,3,81,15,Female,No,Yes,Asian
73.327,6555,472,2,43,15,Female,No,No,Caucasian
25.974,2308,196,2,24,10, Male,No,No,Asian
17.316,1335,138,2,65,13, Male,No,No,African American
49.794,5758,410,4,40,8, Male,No,No,Caucasian
12.096,4100,307,3,32,13, Male,No,Yes,Caucasian
13.364,3838,296,5,65,17, Male,No,No,African American
57.872,4171,321,5,67,12,Female,No,Yes,Caucasian
37.728,2525,192,1,44,13, Male,No,Yes,Caucasian
18.701,5524,415,5,64,7,Female,No,No,Asian
