Album,Artist,Week,Rank
"Apples, Peaches, Pumpkin Pie",Jay And The Techniques,2,136
"Up, Up And Away",The 5th Dimension,2,137
"Country, My Way",Nancy Sinatra,2,138
Golden Hits,Roger Williams,2,139
Joan,Joan Baez,2,140
When The Whistle Blows Anything Goes,Soul Survivors,2,141
Collage,Noel Harrison,2,142
Wild Honey,The Beach Boys,2,143
The Look Of Love,Dusty Springfield,2,144
Wear Your Love Like Heaven,Donovan,2,145
Without Her,Jack Jones,2,146
Encore! More Of The Concert Sound Of Henry Mancini,Henry Mancini,2,147
Eydie Gorme's Greatest Hits,Eydie Gorme,2,148
The Piper At The Gates Of Dawn,Pink Floyd,2,149
History Of Otis Redding,Otis Redding,2,150
Born Free,Roger Williams,2,151
Revolver,The Beatles,2,152
"Time, Time",Ed Ames,2,153
That's Life,Frank Sinatra,2,154
Heads Up!,Baja Marimba Band,2,155
Temptations Live!,The Temptations,2,156
Mantovani's Golden Hits,Mantovani,2,157
Big Hits (High Tide And Green Grass),The Rolling Stones,2,158
Winds Of Change,The Animals,2,159
A Fistful Of Dollars,Soundtrack,2,160
Clear Light,Clear Light,2,161
Movin' With Nancy,Nancy Sinatra,2,162
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,2,163
Johnny's Greatest Hits,Johnny Mathis,2,164
A Scratch In The Sky,The Cryan' Shames,2,165
Misty Roses,The Sandpipers,2,166
Just For You,Neil Diamond,2,167
King Size Soul,King Curtis,2,168
By The Time I Get To Phoenix,Glen Campbell,2,169
Somewhere My Love,Ray Conniff,2,170
The Best Of The Beach Boys,The Beach Boys,2,171
The Flying Nun,Sally Field,2,172
Ray Charles Invites You To Listen,Ray Charles,2,173
"16 Original Big Hits, Volume 7",Various Artists,2,174
The Wild Angels,Davie Allan And The Arrows,2,175
Music From Mission: Impossible,Lalo Schifrin,2,176
Explosive Brass Impact,War,2,177
Camelot,Original Cast Recording,2,178
For All The Seasons Of Your Mind,Janis Ian,2,179
Hugh Masekela Is Alive And Well At The Whisky,Hugh Masekela,2,180
Cowboys & Colored People,FLiP,2,181
Revolution!,Paul Revere & The Raiders,2,182
The John Gary Carnegie Hall Concert,John Gary,2,183
The Impossible Dream,Jack Jones,2,184
Collections,The Rascals,2,185
The Resurrection Of Pigboy Crabshaw,The Paul Butterfield Blues Band,2,186
For Little Ones,Donovan,2,187
Child Of Clay,Jimmie Rodgers,2,188
Cry Young,Ahmad Jamal,2,189
Honey & Wine,Glenn Yarbrough,2,190
Canned Heat,Canned Heat,2,191
For Once In My Life,Tony Bennett,2,192
The Magic Garden,The 5th Dimension,2,193
The Sorcerer,Gabor Szabo,2,194
"16 Original Big Hits, Volume 8",Various Artists,2,195
Forever Changes,Love,2,196
Mass In F Minor,The Electric Prunes,2,197
The First Edition,Kenny Rogers,2,198
Wave,Antonio Carlos Jobim,2,199
The Robbs,The Robbs,2,200
Magical Mystery Tour (Soundtrack),The Beatles,3,1
Their Satanic Majesties Request,The Rolling Stones,3,2
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,3,3
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,3,4
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,3,5
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,3,6
Disraeli Gears,Cream,3,7
"Love, Andy",Andy Williams,3,8
Farewell To The First Golden Era,The Mamas & The Papas,3,9
The Turtles! Golden Hits,The Turtles,3,10
Incense And Peppermints,Strawberry Alarm Clock,3,11
Simply Streisand,Barbra Streisand,3,12
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,3,13
It Must Be Him,Vikki Carr,3,14
Doctor Zhivago,Soundtrack,3,15
A Day In The Life,Wes Montgomery,3,16
The Last Waltz,Engelbert Humperdinck,3,17
Camelot,Soundtrack,3,18
The Sound Of Music,Soundtrack,3,19
Are You Experienced?,Jimi Hendrix,3,20
After Bathing At Baxter's,Jefferson Airplane,3,21
The Temptations Greatest Hits,The Temptations,3,22
Strange Days,The Doors,3,23
Headquarters,The Monkees,3,24
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,3,25
Gone With The Wind,Soundtrack,3,26
The Four Tops Greatest Hits,Four Tops,3,27
Release Me,Engelbert Humperdinck,3,28
"To Sir, With Love",Soundtrack,3,29
Sounds Like...,Herb Alpert & The Tijuana Brass,3,30
The Doors,The Doors,3,31
To Sir With Love,Lulu,3,32
More Of The Monkees,The Monkees,3,33
!!Going Places!!,Herb Alpert & The Tijuana Brass,3,34
Born Free,Andy Williams,3,35
The Cowsills,The Cowsills,3,36
When The Snow Is On The Roses,Ed Ames,3,37
All Mitch Ryder Hits!,Mitch Ryder And The Detroit Wheels,3,38
The Byrds' Greatest Hits,The Byrds,3,39
Ode To Billie Joe,Bobbie Gentry,3,40
The Temptations In A Mellow Mood,The Temptations,3,41
Vanilla Fudge,Vanilla Fudge,3,42
The Best Of Wilson Pickett,Wilson Pickett,3,43
Welcome To My World,Dean Martin,3,44
A Man And A Woman,Soundtrack,3,45
Alice's Restaurant,Soundtrack,3,46
With Love - Cher,Cher,3,47
Ravi Shankar At The Monterey International Pop Festival,Ravi Shankar,3,48
Insight Out,The Association,3,49
Clambake,Elvis Presley,3,50
Snoopy And His Friends,The Royal Guardsmen,3,51
Bee Gees' 1st,Bee Gees,3,52
"The Lettermen!!!...And ""Live!""",The Lettermen,3,53
Hawaiian Album,Ray Conniff,3,54
Groovin',The Rascals,3,55
Revenge,Bill Cosby,3,56
Aretha Arrives,Aretha Franklin,3,57
What Now My Love,Herb Alpert & The Tijuana Brass,3,58
Fresh Cream,Cream,3,59
Dancing In The Street,Ramsey Lewis,3,60
SRO,Herb Alpert & The Tijuana Brass,3,61
Surrealistic Pillow,Jefferson Airplane,3,62
Doctor Dolittle,Soundtrack,3,63
Mary In The Morning,Al Martino,3,64
Bill Cosby Sings/Silver Throat,Bill Cosby,3,65
Album 1700,"Peter, Paul & Mary",3,66
I Never Loved A Man The Way I Love You,Aretha Franklin,3,67
For A Few Dollars More And Other Motion Picture Themes,L,3,68
The Look Of Love,Claudine Longet,3,69
Man Of La Mancha,Original Cast,3,70
History Of Otis Redding,Otis Redding,3,71
My Cup Runneth Over,Ed Ames,3,72
Bob Dylan's Greatest Hits,Bob Dylan,3,73
Make It Happen,The Miracles,3,74
The Sea,San Sebastian,3,75
The Monkees,The Monkees,3,76
Pata Pata,Miriam Makeba,3,77
Anything Goes,Harpers Bizarre,3,78
I-Feel-Like-I'm-Fixin'-To-Die,Country Joe & The Fish,3,79
A Gift From A Flower To A Garden,Donovan,3,80
"Bill Cosby Is A Very Funny Fellow, Right!",Bill Cosby,3,81
Claudine,Claudine Longet,3,82
United,Tammi Terrell,3,83
Please Love Me Forever,Bobby Vinton,3,84
Cowboys & Colored People,FLiP,3,85
The Windows Of The World,Dionne Warwick,3,86
Smiley Smile,The Beach Boys,3,87
The Best Of Eddy Arnold,Eddy Arnold,3,88
Wonderfulness,Bill Cosby,3,89
The Best Of The Animals,The Animals,3,90
Sergio Mendes & Brasil '66,Sergio Mendes,3,91
I Started Out As A Child,Bill Cosby,3,92
"Up, Up And Away",Johnny Mathis,3,93
"$1,000,000.00 Weekend",The Ventures,3,94
The Best Of Wes Montgomery,Wes Montgomery,3,95
Buffalo Springfield Again,The Buffalo Springfield,3,96
Lonely Bull,Herb Alpert & The Tijuana Brass,3,97
The Letter / Neon Rainbow,The Box Tops,3,98
Everybody Needs Love,Gladys Knight And The Pips,3,99
Get That Feeling,Jimi Hendrix,3,100
Groovin' With The Soulful Strings,The Soulful Strings,3,101
Wildflowers,Judy Collins,3,102
Four Tops Reach Out,Four Tops,3,103
Turn The World Around,Eddy Arnold,3,104
Wild Honey,The Beach Boys,3,105
"The Best Of Herman's Hermits, Volume III",Herman's Hermits,3,106
Camelot,Original Cast Recording,3,107
The Who Sell Out,The Who,3,108
South Of The Border,Herb Alpert & The Tijuana Brass,3,109
Why Is There Air?,Bill Cosby,3,110
The Best Of Sonny & Cher,Sonny & Cher,3,111
This Is My Song,Ray Conniff,3,112
With A Lot O' Soul,The Temptations,3,113
Equinox,Sergio Mendes,3,114
Blooming Hits,Paul Mauriat And His Orchestra,3,115
Fiddler On The Roof,Original Cast,3,116
The Mamas & The Papas Deliver,The Mamas & The Papas,3,117
Golden Greats By The Ventures,The Ventures,3,118
Movin' With Nancy,Nancy Sinatra,3,119
Soul Men,Sam & Dave,3,120
Flowers,The Rolling Stones,3,121
These Are My Songs,Petula Clark,3,122
Greatest Hits,The Righteous Brothers,3,123
Thoroughly Modern Millie,Soundtrack,3,124
Super Hits,Various Artists,3,125
When The Whistle Blows Anything Goes,Soul Survivors,3,126
The Voice Of Scott McKenzie,Scott McKenzie,3,127
Greatest Hits,Paul Revere & The Raiders,3,128
Frank Sinatra,Frank Sinatra,3,129
Wear Your Love Like Heaven,Donovan,3,130
"Evergreen, Vol. 2",Stone Poneys Featuring Linda Ronstadt,3,131
Encore! More Of The Concert Sound Of Henry Mancini,Henry Mancini,3,132
The Best Of The Lovin' Spoonful,The Lovin' Spoonful,3,133
The Piper At The Gates Of Dawn,Pink Floyd,3,134
A Man And His Soul,Ray Charles,3,135
Electric Music For The Mind And Body,Country Joe & The Fish,3,136
Here Where There Is Love,Dionne Warwick,3,137
Respect,Jimmy Smith,3,138
Jim Nabors By Request,Jim Nabors,3,139
Collage,Noel Harrison,3,140
The Hollies' Greatest Hits,The Hollies,3,141
If You Can Believe Your Eyes And Ears,The Mamas & The Papas,3,142
A Kind Of Hush,John Davidson,3,143
The Look Of Love,Dusty Springfield,3,144
Mantovani's Golden Hits,Mantovani,3,145
Born Free,Roger Williams,3,146
Mantovani/Hollywood,Mantovani,3,147
By The Time I Get To Phoenix,Glen Campbell,3,148
The Mamas & The Papas,The Mamas & The Papas,3,149
"Apples, Peaches, Pumpkin Pie",Jay And The Techniques,3,150
Misty Roses,The Sandpipers,3,151
"Up, Up And Away",The 5th Dimension,3,152
Golden Hits,Roger Williams,3,153
Revolver,The Beatles,3,154
Without Her,Jack Jones,3,155
A Scratch In The Sky,The Cryan' Shames,3,156
Temptations Live!,The Temptations,3,157
"Country, My Way",Nancy Sinatra,3,158
"Time, Time",Ed Ames,3,159
Music From Mission: Impossible,Lalo Schifrin,3,160
Clear Light,Clear Light,3,161
That's Life,Frank Sinatra,3,162
Child Of Clay,Jimmie Rodgers,3,163
The Wild Angels,Davie Allan And The Arrows,3,164
Hugh Masekela Is Alive And Well At The Whisky,Hugh Masekela,3,165
Somewhere My Love,Ray Conniff,3,166
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,3,167
Just For You,Neil Diamond,3,168
Ray Charles Invites You To Listen,Ray Charles,3,169
The Resurrection Of Pigboy Crabshaw,The Paul Butterfield Blues Band,3,170
A Fistful Of Dollars,Soundtrack,3,171
"16 Original Big Hits, Volume 7",Various Artists,3,172
Winds Of Change,The Animals,3,173
Cry Young,Ahmad Jamal,3,174
The Best Of The Beach Boys,The Beach Boys,3,175
The Magic Garden,The 5th Dimension,3,176
Explosive Brass Impact,War,3,177
"16 Original Big Hits, Volume 8",Various Artists,3,178
For All The Seasons Of Your Mind,Janis Ian,3,179
Collections,The Rascals,3,180
Eydie Gorme's Greatest Hits,Eydie Gorme,3,181
Heads Up!,Baja Marimba Band,3,182
The John Gary Carnegie Hall Concert,John Gary,3,183
Johnny's Greatest Hits,Johnny Mathis,3,184
For Little Ones,Donovan,3,185
Wave,Antonio Carlos Jobim,3,186
Lapland,The Baltimore And Ohio Marching Band,3,187
Mr. Dream Merchant,Jerry Butler,3,188
Class Guitar,Chet Atkins,3,189
For Once In My Life,Tony Bennett,3,190
Big Hits (High Tide And Green Grass),The Rolling Stones,3,191
Forever Changes,Love,3,192
Fowl Play,Baja Marimba Band,3,193
The Sorcerer,Gabor Szabo,3,194
The Impossible Dream,Jack Jones,3,195
Mass In F Minor,The Electric Prunes,3,196
Revolution!,Paul Revere & The Raiders,3,197
The First Edition,Kenny Rogers,3,198
Lyndon Johnson's Lonely Hearts Club Band,Various Artists,3,199
Everything Playing,The Lovin' Spoonful,3,200
Magical Mystery Tour (Soundtrack),The Beatles,4,1
